name,date,PX_LAST
ST1 N:02_0_R Index,2004-03-23,18977.27736
ST1 N:02_0_R Index,2004-03-24,18673.13183
ST1 N:02_0_R Index,2004-03-25,18896.4485
ST1 N:02_0_R Index,2004-03-26,18958.12869
ST1 N:02_0_R Index,2004-03-29,19143.58367
ST1 N:02_0_R Index,2004-03-30,19298.71078
ST1 N:02_0_R Index,2004-03-31,19401.58479
ST1 N:02_0_R Index,2004-04-01,19676.79032
ST1 N:02_0_R Index,2004-04-02,19630.23604
ST1 N:02_0_R Index,2004-04-05,19661.97726
ST1 N:02_0_R Index,2004-04-06,19732.82574
ST1 N:02_0_R Index,2004-04-07,19854.1125
ST1 N:02_0_R Index,2004-04-08,19746.15308
ST1 N:02_0_R Index,2004-04-13,19778.24693
ST1 N:02_0_R Index,2004-04-14,19496.7151
ST1 N:02_0_R Index,2004-04-15,19583.54739
ST1 N:02_0_R Index,2004-04-16,19710.55446
ST1 N:02_0_R Index,2004-04-19,19589.25617
ST1 N:02_0_R Index,2004-04-20,19784.69684
ST1 N:02_0_R Index,2004-04-21,19556.77532
ST1 N:02_0_R Index,2004-04-22,19691.04868
ST1 N:02_0_R Index,2004-04-23,19688.05572
ST1 N:02_0_R Index,2004-04-26,19798.68923
ST1 N:02_0_R Index,2004-04-27,19847.10937
ST1 N:02_0_R Index,2004-04-28,19566.74947
ST1 N:02_0_R Index,2004-04-29,19580.22116
ST1 N:02_0_R Index,2004-04-30,19535.45054
ST1 N:02_0_R Index,2004-05-03,19631.56415
ST1 N:02_0_R Index,2004-05-04,19823.95789
ST1 N:02_0_R Index,2004-05-05,20066.08727
ST1 N:02_0_R Index,2004-05-06,19572.17836
ST1 N:02_0_R Index,2004-05-07,19163.53521
ST1 N:02_0_R Index,2004-05-10,18644.75689
ST1 N:02_0_R Index,2004-05-11,18875.8847
ST1 N:02_0_R Index,2004-05-12,18799.43711
ST1 N:02_0_R Index,2004-05-13,18866.24578
ST1 N:02_0_R Index,2004-05-14,18856.64076
ST1 N:02_0_R Index,2004-05-17,18883.20639
ST1 N:02_0_R Index,2004-05-18,18869.10666
ST1 N:02_0_R Index,2004-05-19,19273.5662
ST1 N:02_0_R Index,2004-05-20,19028.76935
ST1 N:02_0_R Index,2004-05-21,19157.70743
ST1 N:02_0_R Index,2004-05-24,19390.6137
ST1 N:02_0_R Index,2004-05-25,19447.1902
ST1 N:02_0_R Index,2004-05-26,19615.61973
ST1 N:02_0_R Index,2004-05-27,19963.3393
ST1 N:02_0_R Index,2004-05-28,19837.66303
ST1 N:02_0_R Index,2004-05-31,19804.01675
ST1 N:02_0_R Index,2004-06-01,19805.51987
ST1 N:02_0_R Index,2004-06-02,19840.10158
ST1 N:02_0_R Index,2004-06-03,19784.53756
ST1 N:02_0_R Index,2004-06-04,20029.66791
ST1 N:02_0_R Index,2004-06-07,20360.30926
ST1 N:02_0_R Index,2004-06-08,20273.84167
ST1 N:02_0_R Index,2004-06-09,19966.98278
ST1 N:02_0_R Index,2004-06-10,20112.62112
ST1 N:02_0_R Index,2004-06-11,19958.1514
ST1 N:02_0_R Index,2004-06-14,19850.92319
ST1 N:02_0_R Index,2004-06-15,20226.85741
ST1 N:02_0_R Index,2004-06-16,20115.43621
ST1 N:02_0_R Index,2004-06-17,20185.9504
ST1 N:02_0_R Index,2004-06-18,20353.17076
ST1 N:02_0_R Index,2004-06-21,20371.51512
ST1 N:02_0_R Index,2004-06-22,20239.99774
ST1 N:02_0_R Index,2004-06-23,20343.57703
ST1 N:02_0_R Index,2004-06-24,20579.7708
ST1 N:02_0_R Index,2004-06-25,20543.10921
ST1 N:02_0_R Index,2004-06-28,20652.29716
ST1 N:02_0_R Index,2004-06-29,20529.54177
ST1 N:02_0_R Index,2004-06-30,20522.8455
ST1 N:02_0_R Index,2004-07-01,20400.77422
ST1 N:02_0_R Index,2004-07-02,20665.45662
ST1 N:02_0_R Index,2004-07-05,20595.85724
ST1 N:02_0_R Index,2004-07-06,20527.55382
ST1 N:02_0_R Index,2004-07-07,20635.98564
ST1 N:02_0_R Index,2004-07-08,20678.77906
ST1 N:02_0_R Index,2004-07-09,20770.05866
ST1 N:02_0_R Index,2004-07-12,20660.78368
ST1 N:02_0_R Index,2004-07-13,20530.98237
ST1 N:02_0_R Index,2004-07-14,20545.6055
ST1 N:02_0_R Index,2004-07-15,20356.77145
ST1 N:02_0_R Index,2004-07-16,20480.55629
ST1 N:02_0_R Index,2004-07-19,20385.1495
ST1 N:02_0_R Index,2004-07-20,20328.76133
ST1 N:02_0_R Index,2004-07-21,20159.00488
ST1 N:02_0_R Index,2004-07-22,19989.56425
ST1 N:02_0_R Index,2004-07-23,19723.9304
ST1 N:02_0_R Index,2004-07-26,19581.61687
ST1 N:02_0_R Index,2004-07-27,19561.79431
ST1 N:02_0_R Index,2004-07-28,19536.94457
ST1 N:02_0_R Index,2004-07-29,19798.87571
ST1 N:02_0_R Index,2004-07-30,19834.18809
ST1 N:02_0_R Index,2004-08-02,19785.52482
ST1 N:02_0_R Index,2004-08-03,19851.13836
ST1 N:02_0_R Index,2004-08-04,19655.91476
ST1 N:02_0_R Index,2004-08-05,19618.74681
ST1 N:02_0_R Index,2004-08-06,19573.02097
ST1 N:02_0_R Index,2004-08-09,19418.89792
ST1 N:02_0_R Index,2004-08-10,19570.10959
ST1 N:02_0_R Index,2004-08-11,19205.8151
ST1 N:02_0_R Index,2004-08-12,19219.69093
ST1 N:02_0_R Index,2004-08-13,19408.39648
ST1 N:02_0_R Index,2004-08-16,19560.9098
ST1 N:02_0_R Index,2004-08-17,19520.4284
ST1 N:02_0_R Index,2004-08-18,19533.52755
ST1 N:02_0_R Index,2004-08-19,19582.55428
ST1 N:02_0_R Index,2004-08-20,19469.17918
ST1 N:02_0_R Index,2004-08-23,19476.9333
ST1 N:02_0_R Index,2004-08-24,19310.31619
ST1 N:02_0_R Index,2004-08-25,19371.40323
ST1 N:02_0_R Index,2004-08-26,19480.02524
ST1 N:02_0_R Index,2004-08-27,19453.27265
ST1 N:02_0_R Index,2004-08-30,19491.87188
ST1 N:02_0_R Index,2004-08-31,19647.49244
ST1 N:02_0_R Index,2004-09-01,19820.55013
ST1 N:02_0_R Index,2004-09-02,19935.12932
ST1 N:02_0_R Index,2004-09-03,19970.22917
ST1 N:02_0_R Index,2004-09-06,19977.44202
ST1 N:02_0_R Index,2004-09-07,19951.71733
ST1 N:02_0_R Index,2004-09-08,20096.35603
ST1 N:02_0_R Index,2004-09-09,20013.82976
ST1 N:02_0_R Index,2004-09-10,20262.32442
ST1 N:02_0_R Index,2004-09-13,20406.85852
ST1 N:02_0_R Index,2004-09-14,20362.78295
ST1 N:02_0_R Index,2004-09-15,20129.79402
ST1 N:02_0_R Index,2004-09-16,20206.29156
ST1 N:02_0_R Index,2004-09-17,20350.28561
ST1 N:02_0_R Index,2004-09-20,20292.30861
ST1 N:02_0_R Index,2004-09-21,20606.40477
ST1 N:02_0_R Index,2004-09-22,20492.92654
ST1 N:02_0_R Index,2004-09-23,20548.13149
ST1 N:02_0_R Index,2004-09-24,20514.24806
ST1 N:02_0_R Index,2004-09-27,20461.54079
ST1 N:02_0_R Index,2004-09-28,20568.05038
ST1 N:02_0_R Index,2004-09-29,20654.96491
ST1 N:02_0_R Index,2004-09-30,20644.48901
ST1 N:02_0_R Index,2004-10-01,20929.59961
ST1 N:02_0_R Index,2004-10-04,20912.35834
ST1 N:02_0_R Index,2004-10-05,21063.31443
ST1 N:02_0_R Index,2004-10-06,20970.58122
ST1 N:02_0_R Index,2004-10-07,21029.35192
ST1 N:02_0_R Index,2004-10-08,21214.37596
ST1 N:02_0_R Index,2004-10-11,21134.72052
ST1 N:02_0_R Index,2004-10-12,20892.8119
ST1 N:02_0_R Index,2004-10-13,20846.1505
ST1 N:02_0_R Index,2004-10-14,20978.40473
ST1 N:02_0_R Index,2004-10-15,21067.51089
ST1 N:02_0_R Index,2004-10-18,21095.78124
ST1 N:02_0_R Index,2004-10-19,21269.56484
ST1 N:02_0_R Index,2004-10-20,21276.79174
ST1 N:02_0_R Index,2004-10-21,21457.83836
ST1 N:02_0_R Index,2004-10-22,21507.63784
ST1 N:02_0_R Index,2004-10-25,21570.7073
ST1 N:02_0_R Index,2004-10-26,21456.74094
ST1 N:02_0_R Index,2004-10-27,21670.54899
ST1 N:02_0_R Index,2004-10-28,21849.28389
ST1 N:02_0_R Index,2004-10-29,21856.38369
ST1 N:02_0_R Index,2004-11-01,22037.80835
ST1 N:02_0_R Index,2004-11-02,22012.48692
ST1 N:02_0_R Index,2004-11-03,22198.17702
ST1 N:02_0_R Index,2004-11-04,22421.31226
ST1 N:02_0_R Index,2004-11-05,22576.41976
ST1 N:02_0_R Index,2004-11-08,22680.66887
ST1 N:02_0_R Index,2004-11-09,22608.68223
ST1 N:02_0_R Index,2004-11-10,22556.48302
ST1 N:02_0_R Index,2004-11-11,22828.50336
ST1 N:02_0_R Index,2004-11-12,22985.22873
ST1 N:02_0_R Index,2004-11-15,22833.34827
ST1 N:02_0_R Index,2004-11-16,22758.43616
ST1 N:02_0_R Index,2004-11-17,23138.50094
ST1 N:02_0_R Index,2004-11-18,23046.17732
ST1 N:02_0_R Index,2004-11-19,23114.14845
ST1 N:02_0_R Index,2004-11-22,23029.76866
ST1 N:02_0_R Index,2004-11-23,23094.72043
ST1 N:02_0_R Index,2004-11-24,23286.52353
ST1 N:02_0_R Index,2004-11-25,23551.36428
ST1 N:02_0_R Index,2004-11-26,23590.44025
ST1 N:02_0_R Index,2004-11-29,23517.02319
ST1 N:02_0_R Index,2004-11-30,23417.04903
ST1 N:02_0_R Index,2004-12-01,23722.9735
ST1 N:02_0_R Index,2004-12-02,23700.22543
ST1 N:02_0_R Index,2004-12-03,23876.04178
ST1 N:02_0_R Index,2004-12-06,24053.61994
ST1 N:02_0_R Index,2004-12-07,24212.3439
ST1 N:02_0_R Index,2004-12-08,24007.69642
ST1 N:02_0_R Index,2004-12-09,23777.08228
ST1 N:02_0_R Index,2004-12-10,23810.60711
ST1 N:02_0_R Index,2004-12-13,24019.10271
ST1 N:02_0_R Index,2004-12-14,24040.25719
ST1 N:02_0_R Index,2004-12-15,24238.00375
ST1 N:02_0_R Index,2004-12-16,23994.5328
ST1 N:02_0_R Index,2004-12-17,23887.86077
ST1 N:02_0_R Index,2004-12-20,24275.86849
ST1 N:02_0_R Index,2004-12-21,24282.16735
ST1 N:02_0_R Index,2004-12-22,24450.07484
ST1 N:02_0_R Index,2004-12-23,24727.30077
ST1 N:02_0_R Index,2004-12-27,24956.10741
ST1 N:02_0_R Index,2004-12-28,25001.69147
ST1 N:02_0_R Index,2004-12-29,24895.54887
ST1 N:02_0_R Index,2004-12-30,24917.98355
ST1 N:02_0_R Index,2005-01-03,24798.76964
ST1 N:02_0_R Index,2005-01-04,24572.42397
ST1 N:02_0_R Index,2005-01-05,24489.58107
ST1 N:02_0_R Index,2005-01-06,24343.45558
ST1 N:02_0_R Index,2005-01-07,24109.67156
ST1 N:02_0_R Index,2005-01-10,24220.85011
ST1 N:02_0_R Index,2005-01-11,23980.75514
ST1 N:02_0_R Index,2005-01-12,24105.56548
ST1 N:02_0_R Index,2005-01-13,24208.99024
ST1 N:02_0_R Index,2005-01-14,24151.57769
ST1 N:02_0_R Index,2005-01-17,24175.708
ST1 N:02_0_R Index,2005-01-18,24084.17492
ST1 N:02_0_R Index,2005-01-19,24121.68116
ST1 N:02_0_R Index,2005-01-20,23948.90036
ST1 N:02_0_R Index,2005-01-21,24190.11005
ST1 N:02_0_R Index,2005-01-24,24055.68688
ST1 N:02_0_R Index,2005-01-25,24031.02447
ST1 N:02_0_R Index,2005-01-26,24234.10124
ST1 N:02_0_R Index,2005-01-27,24066.44766
ST1 N:02_0_R Index,2005-01-28,23990.03399
ST1 N:02_0_R Index,2005-01-31,24287.01822
ST1 N:02_0_R Index,2005-02-01,24378.15862
ST1 N:02_0_R Index,2005-02-02,24412.78787
ST1 N:02_0_R Index,2005-02-03,24263.35841
ST1 N:02_0_R Index,2005-02-04,24385.62587
ST1 N:02_0_R Index,2005-02-07,24270.37115
ST1 N:02_0_R Index,2005-02-08,24409.97046
ST1 N:02_0_R Index,2005-02-09,24377.79627
ST1 N:02_0_R Index,2005-02-10,24605.41966
ST1 N:02_0_R Index,2005-02-11,24663.2828
ST1 N:02_0_R Index,2005-02-14,24852.23045
ST1 N:02_0_R Index,2005-02-15,25023.61454
ST1 N:02_0_R Index,2005-02-16,24819.2873
ST1 N:02_0_R Index,2005-02-17,24960.66025
ST1 N:02_0_R Index,2005-02-18,24821.20989
ST1 N:02_0_R Index,2005-02-21,24551.09975
ST1 N:02_0_R Index,2005-02-22,24724.7952
ST1 N:02_0_R Index,2005-02-23,24569.53419
ST1 N:02_0_R Index,2005-02-24,24610.73143
ST1 N:02_0_R Index,2005-02-25,24872.62871
ST1 N:02_0_R Index,2005-02-28,25005.51196
ST1 N:02_0_R Index,2005-03-01,24952.89431
ST1 N:02_0_R Index,2005-03-02,24827.43407
ST1 N:02_0_R Index,2005-03-03,24805.66789
ST1 N:02_0_R Index,2005-03-04,25233.28709
ST1 N:02_0_R Index,2005-03-07,25234.8356
ST1 N:02_0_R Index,2005-03-08,25330.80382
ST1 N:02_0_R Index,2005-03-09,25408.02596
ST1 N:02_0_R Index,2005-03-10,25200.19267
ST1 N:02_0_R Index,2005-03-11,25255.212
ST1 N:02_0_R Index,2005-03-14,25099.75772
ST1 N:02_0_R Index,2005-03-15,25207.1874
ST1 N:02_0_R Index,2005-03-16,25093.88938
ST1 N:02_0_R Index,2005-03-17,25043.1578
ST1 N:02_0_R Index,2005-03-18,25104.70272
ST1 N:02_0_R Index,2005-03-21,24869.28457
ST1 N:02_0_R Index,2005-03-22,24987.09549
ST1 N:02_0_R Index,2005-03-23,24544.607
ST1 N:02_0_R Index,2005-03-24,24626.93485
ST1 N:02_0_R Index,2005-03-29,24600.55261
ST1 N:02_0_R Index,2005-03-30,24728.51711
ST1 N:02_0_R Index,2005-03-31,24824.1982
ST1 N:02_0_R Index,2005-04-01,24809.97886
ST1 N:02_0_R Index,2005-04-04,24594.20335
ST1 N:02_0_R Index,2005-04-05,24631.91549
ST1 N:02_0_R Index,2005-04-06,24809.29945
ST1 N:02_0_R Index,2005-04-07,25088.594
ST1 N:02_0_R Index,2005-04-08,25109.22803
ST1 N:02_0_R Index,2005-04-11,25281.91825
ST1 N:02_0_R Index,2005-04-12,24923.90772
ST1 N:02_0_R Index,2005-04-13,24966.0858
ST1 N:02_0_R Index,2005-04-14,24726.90076
ST1 N:02_0_R Index,2005-04-15,24228.79792
ST1 N:02_0_R Index,2005-04-18,24094.24194
ST1 N:02_0_R Index,2005-04-19,24082.08367
ST1 N:02_0_R Index,2005-04-20,24139.81316
ST1 N:02_0_R Index,2005-04-21,24154.19533
ST1 N:02_0_R Index,2005-04-22,24303.86113
ST1 N:02_0_R Index,2005-04-25,24192.97528
ST1 N:02_0_R Index,2005-04-26,24117.67226
ST1 N:02_0_R Index,2005-04-27,23751.6859
ST1 N:02_0_R Index,2005-04-28,23630.97407
ST1 N:02_0_R Index,2005-04-29,23682.85116
ST1 N:02_0_R Index,2005-05-02,23769.83909
ST1 N:02_0_R Index,2005-05-03,23892.91746
ST1 N:02_0_R Index,2005-05-04,24009.27055
ST1 N:02_0_R Index,2005-05-05,24190.26774
ST1 N:02_0_R Index,2005-05-06,23921.19425
ST1 N:02_0_R Index,2005-05-09,23862.98082
ST1 N:02_0_R Index,2005-05-10,23731.26794
ST1 N:02_0_R Index,2005-05-11,23658.11821
ST1 N:02_0_R Index,2005-05-12,23627.9995
ST1 N:02_0_R Index,2005-05-13,23518.17209
ST1 N:02_0_R Index,2005-05-16,23509.87912
ST1 N:02_0_R Index,2005-05-17,23310.83923
ST1 N:02_0_R Index,2005-05-18,23730.31736
ST1 N:02_0_R Index,2005-05-19,23724.11045
ST1 N:02_0_R Index,2005-05-20,23587.02972
ST1 N:02_0_R Index,2005-05-23,23854.1619
ST1 N:02_0_R Index,2005-05-24,23863.74886
ST1 N:02_0_R Index,2005-05-25,23938.08111
ST1 N:02_0_R Index,2005-05-26,23938.36466
ST1 N:02_0_R Index,2005-05-27,24000.68489
ST1 N:02_0_R Index,2005-05-30,23903.44418
ST1 N:02_0_R Index,2005-05-31,23564.09158
ST1 N:02_0_R Index,2005-06-01,23604.55434
ST1 N:02_0_R Index,2005-06-02,23725.87539
ST1 N:02_0_R Index,2005-06-03,23469.25521
ST1 N:02_0_R Index,2005-06-06,23519.00166
ST1 N:02_0_R Index,2005-06-07,23713.9252
ST1 N:02_0_R Index,2005-06-08,23772.44226
ST1 N:02_0_R Index,2005-06-09,23747.66226
ST1 N:02_0_R Index,2005-06-10,23600.50132
ST1 N:02_0_R Index,2005-06-13,23636.50884
ST1 N:02_0_R Index,2005-06-14,23642.74724
ST1 N:02_0_R Index,2005-06-15,23716.1908
ST1 N:02_0_R Index,2005-06-16,23777.08377
ST1 N:02_0_R Index,2005-06-17,24070.82352
ST1 N:02_0_R Index,2005-06-20,23867.88549
ST1 N:02_0_R Index,2005-06-21,23947.75776
ST1 N:02_0_R Index,2005-06-22,23829.84857
ST1 N:02_0_R Index,2005-06-23,23708.62358
ST1 N:02_0_R Index,2005-06-24,23559.95074
ST1 N:02_0_R Index,2005-06-27,23464.221
ST1 N:02_0_R Index,2005-06-28,23511.70346
ST1 N:02_0_R Index,2005-06-29,23667.76812
ST1 N:02_0_R Index,2005-06-30,23735.66094
ST1 N:02_0_R Index,2005-07-01,23597.0957
ST1 N:02_0_R Index,2005-07-04,23579.53186
ST1 N:02_0_R Index,2005-07-05,23529.44356
ST1 N:02_0_R Index,2005-07-06,23687.91377
ST1 N:02_0_R Index,2005-07-07,23275.40042
ST1 N:02_0_R Index,2005-07-08,23674.73418
ST1 N:02_0_R Index,2005-07-11,24141.10972
ST1 N:02_0_R Index,2005-07-12,24333.33668
ST1 N:02_0_R Index,2005-07-13,24300.95263
ST1 N:02_0_R Index,2005-07-14,24447.57635
ST1 N:02_0_R Index,2005-07-15,24245.58714
ST1 N:02_0_R Index,2005-07-18,24328.55373
ST1 N:02_0_R Index,2005-07-19,24472.61297
ST1 N:02_0_R Index,2005-07-20,24448.10286
ST1 N:02_0_R Index,2005-07-21,24678.37752
ST1 N:02_0_R Index,2005-07-22,24550.63355
ST1 N:02_0_R Index,2005-07-25,24605.04647
ST1 N:02_0_R Index,2005-07-26,24544.2557
ST1 N:02_0_R Index,2005-07-27,24617.45446
ST1 N:02_0_R Index,2005-07-28,24863.69061
ST1 N:02_0_R Index,2005-07-29,24732.01521
ST1 N:02_0_R Index,2005-08-01,24876.11695
ST1 N:02_0_R Index,2005-08-02,25092.79026
ST1 N:02_0_R Index,2005-08-03,25326.46779
ST1 N:02_0_R Index,2005-08-04,25171.24635
ST1 N:02_0_R Index,2005-08-05,24932.57947
ST1 N:02_0_R Index,2005-08-08,25107.08741
ST1 N:02_0_R Index,2005-08-09,25244.79168
ST1 N:02_0_R Index,2005-08-10,25481.9925
ST1 N:02_0_R Index,2005-08-11,25555.03148
ST1 N:02_0_R Index,2005-08-12,25453.1404
ST1 N:02_0_R Index,2005-08-16,25100.49625
ST1 N:02_0_R Index,2005-08-17,24906.09339
ST1 N:02_0_R Index,2005-08-18,24552.75411
ST1 N:02_0_R Index,2005-08-19,24877.2488
ST1 N:02_0_R Index,2005-08-22,25017.62587
ST1 N:02_0_R Index,2005-08-23,24774.34727
ST1 N:02_0_R Index,2005-08-24,24975.95813
ST1 N:02_0_R Index,2005-08-25,24913.38761
ST1 N:02_0_R Index,2005-08-26,24671.24351
ST1 N:02_0_R Index,2005-08-29,24595.69665
ST1 N:02_0_R Index,2005-08-30,24492.19899
ST1 N:02_0_R Index,2005-08-31,25033.57399
ST1 N:02_0_R Index,2005-09-01,25423.2922
ST1 N:02_0_R Index,2005-09-02,25593.96715
ST1 N:02_0_R Index,2005-09-05,25637.29936
ST1 N:02_0_R Index,2005-09-06,25682.56003
ST1 N:02_0_R Index,2005-09-07,25693.77908
ST1 N:02_0_R Index,2005-09-08,25617.37562
ST1 N:02_0_R Index,2005-09-09,25729.40191
ST1 N:02_0_R Index,2005-09-12,25521.67361
ST1 N:02_0_R Index,2005-09-13,25305.13072
ST1 N:02_0_R Index,2005-09-14,25524.05809
ST1 N:02_0_R Index,2005-09-15,25383.85604
ST1 N:02_0_R Index,2005-09-16,25533.67525
ST1 N:02_0_R Index,2005-09-19,25366.36041
ST1 N:02_0_R Index,2005-09-20,25417.79521
ST1 N:02_0_R Index,2005-09-21,25421.8882
ST1 N:02_0_R Index,2005-09-22,25135.86903
ST1 N:02_0_R Index,2005-09-23,24990.68136
ST1 N:02_0_R Index,2005-09-26,25306.23735
ST1 N:02_0_R Index,2005-09-27,25111.28699
ST1 N:02_0_R Index,2005-09-28,25398.94978
ST1 N:02_0_R Index,2005-09-29,25317.7211
ST1 N:02_0_R Index,2005-09-30,25320.59714
ST1 N:02_0_R Index,2005-10-03,25142.25487
ST1 N:02_0_R Index,2005-10-04,25013.71417
ST1 N:02_0_R Index,2005-10-05,24741.80118
ST1 N:02_0_R Index,2005-10-06,24878.11277
ST1 N:02_0_R Index,2005-10-07,24636.88344
ST1 N:02_0_R Index,2005-10-10,24592.75553
ST1 N:02_0_R Index,2005-10-11,24388.5287
ST1 N:02_0_R Index,2005-10-12,24333.73855
ST1 N:02_0_R Index,2005-10-13,24026.57874
ST1 N:02_0_R Index,2005-10-14,24290.09435
ST1 N:02_0_R Index,2005-10-17,24221.06951
ST1 N:02_0_R Index,2005-10-18,23740.53417
ST1 N:02_0_R Index,2005-10-19,23408.06484
ST1 N:02_0_R Index,2005-10-20,23388.59304
ST1 N:02_0_R Index,2005-10-21,23482.00423
ST1 N:02_0_R Index,2005-10-24,23740.94296
ST1 N:02_0_R Index,2005-10-25,23931.85349
ST1 N:02_0_R Index,2005-10-26,23946.54516
ST1 N:02_0_R Index,2005-10-27,23571.9147
ST1 N:02_0_R Index,2005-10-28,23458.65062
ST1 N:02_0_R Index,2005-10-31,23751.5339
ST1 N:02_0_R Index,2005-11-01,23774.99546
ST1 N:02_0_R Index,2005-11-02,24028.32444
ST1 N:02_0_R Index,2005-11-03,24118.92387
ST1 N:02_0_R Index,2005-11-04,23817.01563
ST1 N:02_0_R Index,2005-11-07,23854.94529
ST1 N:02_0_R Index,2005-11-08,23726.81779
ST1 N:02_0_R Index,2005-11-09,23739.75475
ST1 N:02_0_R Index,2005-11-10,23668.0152
ST1 N:02_0_R Index,2005-11-11,23902.68912
ST1 N:02_0_R Index,2005-11-14,23819.20701
ST1 N:02_0_R Index,2005-11-15,23884.77484
ST1 N:02_0_R Index,2005-11-16,23824.77896
ST1 N:02_0_R Index,2005-11-17,24015.44802
ST1 N:02_0_R Index,2005-11-18,24180.43542
ST1 N:02_0_R Index,2005-11-21,24253.68846
ST1 N:02_0_R Index,2005-11-22,24286.49542
ST1 N:02_0_R Index,2005-11-23,24577.41221
ST1 N:02_0_R Index,2005-11-24,24521.39835
ST1 N:02_0_R Index,2005-11-25,24403.26288
ST1 N:02_0_R Index,2005-11-28,24507.59852
ST1 N:02_0_R Index,2005-11-29,24457.79476
ST1 N:02_0_R Index,2005-11-30,24335.13285
ST1 N:02_0_R Index,2005-12-01,24519.54053
ST1 N:02_0_R Index,2005-12-02,24608.07151
ST1 N:02_0_R Index,2005-12-05,24766.08389
ST1 N:02_0_R Index,2005-12-06,24859.46321
ST1 N:02_0_R Index,2005-12-07,24638.50494
ST1 N:02_0_R Index,2005-12-08,24969.63923
ST1 N:02_0_R Index,2005-12-09,24889.35185
ST1 N:02_0_R Index,2005-12-12,25274.41409
ST1 N:02_0_R Index,2005-12-13,25246.9456
ST1 N:02_0_R Index,2005-12-14,25442.80703
ST1 N:02_0_R Index,2005-12-15,25328.86936
ST1 N:02_0_R Index,2005-12-16,25630.32662
ST1 N:02_0_R Index,2005-12-19,25643.71432
ST1 N:02_0_R Index,2005-12-20,25513.23836
ST1 N:02_0_R Index,2005-12-21,25594.61871
ST1 N:02_0_R Index,2005-12-22,25733.0544
ST1 N:02_0_R Index,2005-12-23,25647.74916
ST1 N:02_0_R Index,2005-12-27,25713.37444
ST1 N:02_0_R Index,2005-12-28,25695.08177
ST1 N:02_0_R Index,2005-12-29,25780.96316
ST1 N:02_0_R Index,2005-12-30,25547.96419
ST1 N:02_0_R Index,2006-01-02,25731.64154
ST1 N:02_0_R Index,2006-01-03,26184.73129
ST1 N:02_0_R Index,2006-01-04,26655.97969
ST1 N:02_0_R Index,2006-01-05,26423.6766
ST1 N:02_0_R Index,2006-01-06,26714.59445
ST1 N:02_0_R Index,2006-01-09,26483.45705
ST1 N:02_0_R Index,2006-01-10,26402.53595
ST1 N:02_0_R Index,2006-01-11,26815.54759
ST1 N:02_0_R Index,2006-01-12,26688.06545
ST1 N:02_0_R Index,2006-01-13,26642.08913
ST1 N:02_0_R Index,2006-01-16,26866.46109
ST1 N:02_0_R Index,2006-01-17,26568.64334
ST1 N:02_0_R Index,2006-01-18,26347.89082
ST1 N:02_0_R Index,2006-01-19,26463.00938
ST1 N:02_0_R Index,2006-01-20,26157.97338
ST1 N:02_0_R Index,2006-01-23,26587.7755
ST1 N:02_0_R Index,2006-01-24,26488.549
ST1 N:02_0_R Index,2006-01-25,26632.0831
ST1 N:02_0_R Index,2006-01-26,26970.90186
ST1 N:02_0_R Index,2006-01-27,26895.8996
ST1 N:02_0_R Index,2006-01-30,26818.91291
ST1 N:02_0_R Index,2006-01-31,26993.5154
ST1 N:02_0_R Index,2006-02-01,27003.01199
ST1 N:02_0_R Index,2006-02-02,26711.98116
ST1 N:02_0_R Index,2006-02-03,26421.26223
ST1 N:02_0_R Index,2006-02-06,26662.77614
ST1 N:02_0_R Index,2006-02-07,26527.00501
ST1 N:02_0_R Index,2006-02-08,26442.4845
ST1 N:02_0_R Index,2006-02-09,26812.96144
ST1 N:02_0_R Index,2006-02-10,26469.09427
ST1 N:02_0_R Index,2006-02-13,26572.76624
ST1 N:02_0_R Index,2006-02-14,26493.43202
ST1 N:02_0_R Index,2006-02-15,26502.47304
ST1 N:02_0_R Index,2006-02-16,26710.7703
ST1 N:02_0_R Index,2006-02-17,26910.19935
ST1 N:02_0_R Index,2006-02-20,27124.33402
ST1 N:02_0_R Index,2006-02-21,27132.05199
ST1 N:02_0_R Index,2006-02-22,27373.07998
ST1 N:02_0_R Index,2006-02-23,27346.72071
ST1 N:02_0_R Index,2006-02-24,27345.24331
ST1 N:02_0_R Index,2006-02-27,27419.95213
ST1 N:02_0_R Index,2006-02-28,27121.6241
ST1 N:02_0_R Index,2006-03-01,27203.06731
ST1 N:02_0_R Index,2006-03-02,27090.77762
ST1 N:02_0_R Index,2006-03-03,27133.87754
ST1 N:02_0_R Index,2006-03-06,27308.66279
ST1 N:02_0_R Index,2006-03-07,26900.14458
ST1 N:02_0_R Index,2006-03-08,26894.23316
ST1 N:02_0_R Index,2006-03-09,27042.48476
ST1 N:02_0_R Index,2006-03-10,27202.00839
ST1 N:02_0_R Index,2006-03-13,27492.88052
ST1 N:02_0_R Index,2006-03-14,27803.54854
ST1 N:02_0_R Index,2006-03-15,27973.07271
ST1 N:02_0_R Index,2006-03-16,28269.88709
ST1 N:02_0_R Index,2006-03-17,28185.05293
ST1 N:02_0_R Index,2006-03-20,28207.38305
ST1 N:02_0_R Index,2006-03-21,28153.2057
ST1 N:02_0_R Index,2006-03-22,28069.68584
ST1 N:02_0_R Index,2006-03-23,27627.11188
ST1 N:02_0_R Index,2006-03-24,27745.24879
ST1 N:02_0_R Index,2006-03-27,27331.0486
ST1 N:02_0_R Index,2006-03-28,27291.43899
